"@timestamp","kubernetes.labels.app_kubernetes_io/instance","kubernetes.deployment.replicas.desired","kubernetes.deployment.replicas.available"
"December 10th 2019, 00:34:06.176","node-61",1,1
"December 10th 2019, 00:34:06.176","node-32",1,1
"December 10th 2019, 00:34:06.176","node-33",1,1
"December 10th 2019, 00:34:06.176","node-35",1,1
"December 10th 2019, 00:34:06.176","node-1",1,1
"December 10th 2019, 00:34:06.176","node-62",1,1
"December 10th 2019, 00:34:06.176","node-11",1,1
"December 10th 2019, 00:34:06.176","node-6",1,1
"December 10th 2019, 00:34:06.176","node-42",1,1
"December 10th 2019, 00:34:06.176","node-50",1,1
"December 10th 2019, 00:34:06.176","node-29",1,1
"December 10th 2019, 00:34:06.176","node-9",1,1
"December 10th 2019, 00:34:06.176","node-38",1,1
"December 10th 2019, 00:34:06.176","node-15",1,1
"December 10th 2019, 00:34:06.176","node-47",1,1
"December 10th 2019, 00:34:06.176","node-28",1,1
"December 10th 2019, 00:34:06.176","node-45",1,1
"December 10th 2019, 00:34:06.176","node-17",1,1
"December 10th 2019, 00:34:06.176","node-20",1,1
"December 10th 2019, 00:34:06.176","node-5",1,1
"December 10th 2019, 00:34:06.176","node-44",1,1
"December 10th 2019, 00:34:06.176","node-34",1,1
"December 10th 2019, 00:34:06.176","node-52",1,1
"December 10th 2019, 00:34:06.176","node-53",1,1
"December 10th 2019, 00:34:06.176","node-48",1,1
"December 10th 2019, 00:34:06.176","node-14",1,1
"December 10th 2019, 00:34:06.176","node-12",1,1
"December 10th 2019, 00:34:06.176","node-25",1,1
"December 10th 2019, 00:34:06.176","node-54",1,1
"December 10th 2019, 00:34:06.176","node-21",1,1
"December 10th 2019, 00:34:06.176","node-8",1,1
"December 10th 2019, 00:34:06.176","node-46",1,1
"December 10th 2019, 00:34:06.176","node-13",1,1
"December 10th 2019, 00:32:06.175","node-15",1,1
"December 10th 2019, 00:32:06.175","node-61",1,1
"December 10th 2019, 00:32:06.175","node-77",1,1
"December 10th 2019, 00:32:06.175","node-92",1,1
"December 10th 2019, 00:32:06.175","node-34",1,1
"December 10th 2019, 00:32:06.175","node-96",1,1
"December 10th 2019, 00:32:06.175","node-3",1,1
"December 10th 2019, 00:32:06.175","node-48",1,1
"December 10th 2019, 00:32:06.175","node-37",1,1
"December 10th 2019, 00:32:06.175","node-26",1,1
"December 10th 2019, 00:32:06.175","node-7",1,1
"December 10th 2019, 00:32:06.175","node-87",1,1
"December 10th 2019, 00:32:06.175","node-9",1,1
"December 10th 2019, 00:32:06.175","node-82",1,1
"December 10th 2019, 00:32:06.175","node-33",1,1
"December 10th 2019, 00:32:06.175","node-84",1,1
"December 10th 2019, 00:32:06.175","node-30",1,1
"December 10th 2019, 00:32:06.175","node-35",1,1
"December 10th 2019, 00:32:06.175","node-47",1,1
"December 10th 2019, 00:32:06.175","node-12",1,1
"December 10th 2019, 00:32:06.175","node-69",1,1
"December 10th 2019, 00:32:06.175","node-56",1,1
"December 10th 2019, 00:32:06.175","node-44",1,1
"December 10th 2019, 00:32:06.175","node-63",1,1
"December 10th 2019, 00:32:06.175","node-62",1,1
"December 10th 2019, 00:32:06.175","node-83",1,1
"December 10th 2019, 00:32:06.175","node-27",1,1
"December 10th 2019, 00:32:06.175","node-74",1,1
"December 10th 2019, 00:32:06.175","node-94",1,1
"December 10th 2019, 00:32:06.175","node-86",1,1
"December 10th 2019, 00:32:06.175","node-36",1,1
"December 10th 2019, 00:32:06.175","node-73",1,1
"December 10th 2019, 00:32:06.175","node-66",1,1
"December 10th 2019, 00:32:06.175","node-25",1,1
"December 10th 2019, 00:32:06.175","node-55",1,1
"December 10th 2019, 00:32:06.175","node-91",1,1
"December 10th 2019, 00:32:06.175","node-11",1,1
"December 10th 2019, 00:32:06.175","node-81",1,1
"December 10th 2019, 00:32:06.175","node-80",1,1
"December 10th 2019, 00:32:06.175","node-85",1,1
"December 10th 2019, 00:32:06.175","node-13",1,1
"December 10th 2019, 00:32:06.175","node-18",1,1
"December 10th 2019, 00:32:06.175","node-70",1,1
"December 10th 2019, 00:32:06.175","node-42",1,1
"December 10th 2019, 00:32:06.175","node-58",1,1
