"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.size"
"December 9th 2019, 21:43:14.322","node-62",12
"December 9th 2019, 21:43:13.583","node-63",8
"December 9th 2019, 21:43:13.469","node-42",12
"December 9th 2019, 21:43:13.117","node-41",5
"December 9th 2019, 21:43:12.972","node-44",15
"December 9th 2019, 21:43:12.174","node-18",8
"December 9th 2019, 21:43:10.910","node-3",10
"December 9th 2019, 21:43:10.580","node-19",12
"December 9th 2019, 21:43:10.249","node-89",8
"December 9th 2019, 21:43:00.955","node-22",15
"December 9th 2019, 21:43:00.061","node-23",15
"December 9th 2019, 21:42:59.723","node-67",13
"December 9th 2019, 21:42:59.168","node-24",9
"December 9th 2019, 21:42:58.464","node-21",38
"December 9th 2019, 21:42:58.430","node-65",12
"December 9th 2019, 21:42:58.051","node-66",8
"December 9th 2019, 21:42:55.105","node-48",19
"December 9th 2019, 21:42:54.595","node-94",9
"December 9th 2019, 21:42:53.428","node-45",32
"December 9th 2019, 21:42:52.686","node-26",0
"December 9th 2019, 21:42:47.592","node-71",16
"December 9th 2019, 21:42:47.116","node-72",10
"December 9th 2019, 21:42:46.971","node-52",8
"December 9th 2019, 21:42:46.769","node-51",4
"December 9th 2019, 21:42:46.251","node-5",9
"December 9th 2019, 21:42:44.652","node-25",16
"December 9th 2019, 21:42:44.589","node-8",20
"December 9th 2019, 21:42:43.611","node-28",22
"December 9th 2019, 21:42:41.749","node-30",10
"December 9th 2019, 21:42:40.749","node-27",6
"December 9th 2019, 21:42:40.371","node-9",13
"December 9th 2019, 21:42:39.522","node-74",28
"December 9th 2019, 21:42:39.048","node-12",4
"December 9th 2019, 21:42:37.733","node-29",5
"December 9th 2019, 21:42:37.671","node-32",18
"December 9th 2019, 21:42:37.652","node-76",7
"December 9th 2019, 21:42:36.912","node-81",8
"December 9th 2019, 21:42:35.611","node-84",32
"December 9th 2019, 21:42:35.606","node-83",6
"December 9th 2019, 21:42:35.467","node-54",29
"December 9th 2019, 21:42:35.001","node-53",10
"December 9th 2019, 21:42:34.908","node-75",18
"December 9th 2019, 21:42:34.663","node-1",0
"December 9th 2019, 21:42:33.973","node-56",11
"December 9th 2019, 21:42:33.678","node-34",38
"December 9th 2019, 21:42:33.193","node-36",31
"December 9th 2019, 21:42:32.508","node-78",14
"December 9th 2019, 21:42:31.346","node-77",22
"December 9th 2019, 21:42:30.909","node-33",3
"December 9th 2019, 21:42:29.937","node-58",9
"December 9th 2019, 21:42:29.740","node-60",36
"December 9th 2019, 21:42:29.736","node-35",5
"December 9th 2019, 21:42:29.418","node-59",10
"December 9th 2019, 21:42:25.869","node-13",9
"December 9th 2019, 21:42:25.290","node-93",8
"December 9th 2019, 21:42:22.801","node-86",10
"December 9th 2019, 21:42:20.781","node-88",10
"December 9th 2019, 21:42:17.380","node-37",4
"December 9th 2019, 21:42:17.190","node-97",12
"December 9th 2019, 21:42:16.413","node-39",34
"December 9th 2019, 21:42:15.963","node-99",14
"December 9th 2019, 21:42:15.530","node-61",11
"December 9th 2019, 21:42:15.518","node-16",0
"December 9th 2019, 21:42:14.322","node-62",12
"December 9th 2019, 21:42:14.083","node-100",12
"December 9th 2019, 21:42:13.584","node-63",8
"December 9th 2019, 21:42:13.476","node-42",13
"December 9th 2019, 21:42:13.117","node-41",6
"December 9th 2019, 21:42:12.967","node-44",15
"December 9th 2019, 21:42:12.173","node-18",8
"December 9th 2019, 21:42:10.914","node-3",10
"December 9th 2019, 21:42:10.576","node-19",15
"December 9th 2019, 21:42:10.250","node-89",9
"December 9th 2019, 21:42:09.655","node-91",8
"December 9th 2019, 21:42:00.956","node-22",15
"December 9th 2019, 21:42:00.059","node-23",15
"December 9th 2019, 21:41:59.721","node-67",13
"December 9th 2019, 21:41:59.158","node-24",10
"December 9th 2019, 21:41:58.463","node-21",40
"December 9th 2019, 21:41:58.428","node-65",13
"December 9th 2019, 21:41:58.051","node-66",8
"December 9th 2019, 21:41:55.106","node-48",19
"December 9th 2019, 21:41:54.595","node-94",12
"December 9th 2019, 21:41:53.427","node-45",32
"December 9th 2019, 21:41:52.686","node-26",0
"December 9th 2019, 21:41:47.589","node-71",16
"December 9th 2019, 21:41:47.115","node-72",10
"December 9th 2019, 21:41:46.972","node-52",8
"December 9th 2019, 21:41:46.768","node-51",4
"December 9th 2019, 21:41:46.248","node-5",9
"December 9th 2019, 21:41:44.651","node-25",16
"December 9th 2019, 21:41:44.589","node-8",21
"December 9th 2019, 21:41:43.615","node-28",22
"December 9th 2019, 21:41:41.741","node-30",10
"December 9th 2019, 21:41:40.747","node-27",6
"December 9th 2019, 21:41:40.371","node-9",13
"December 9th 2019, 21:41:39.462","node-74",28
"December 9th 2019, 21:41:39.047","node-12",5
"December 9th 2019, 21:41:37.733","node-29",5
"December 9th 2019, 21:41:37.672","node-32",18
"December 9th 2019, 21:41:37.651","node-76",7
"December 9th 2019, 21:41:36.911","node-81",8
"December 9th 2019, 21:41:35.606","node-84",32
"December 9th 2019, 21:41:35.606","node-83",6
"December 9th 2019, 21:41:35.468","node-54",29
"December 9th 2019, 21:41:35.001","node-53",10
"December 9th 2019, 21:41:34.909","node-75",18
"December 9th 2019, 21:41:34.663","node-1",0
"December 9th 2019, 21:41:33.973","node-56",11
"December 9th 2019, 21:41:33.671","node-34",38
"December 9th 2019, 21:41:33.186","node-36",31
"December 9th 2019, 21:41:32.506","node-78",14
"December 9th 2019, 21:41:31.347","node-77",22
"December 9th 2019, 21:41:30.911","node-33",3
"December 9th 2019, 21:41:29.933","node-58",9
"December 9th 2019, 21:41:29.741","node-60",36
"December 9th 2019, 21:41:29.736","node-35",5
"December 9th 2019, 21:41:29.419","node-59",10
"December 9th 2019, 21:41:25.867","node-13",10
"December 9th 2019, 21:41:25.283","node-93",8
"December 9th 2019, 21:41:22.799","node-86",10
"December 9th 2019, 21:41:20.779","node-88",10
"December 9th 2019, 21:41:17.379","node-37",4
"December 9th 2019, 21:41:17.191","node-97",12
"December 9th 2019, 21:41:16.414","node-39",34
"December 9th 2019, 21:41:15.963","node-99",14
"December 9th 2019, 21:41:15.529","node-61",11
"December 9th 2019, 21:41:15.517","node-16",0
"December 9th 2019, 21:41:14.323","node-62",12
"December 9th 2019, 21:41:14.082","node-100",12
"December 9th 2019, 21:41:13.582","node-63",8
"December 9th 2019, 21:41:13.468","node-42",13
"December 9th 2019, 21:41:13.117","node-41",6
"December 9th 2019, 21:41:12.962","node-44",15
"December 9th 2019, 21:41:12.170","node-18",8
"December 9th 2019, 21:41:10.910","node-3",10
"December 9th 2019, 21:41:10.578","node-19",15
"December 9th 2019, 21:41:10.270","node-89",9
"December 9th 2019, 21:41:09.639","node-91",8
"December 9th 2019, 21:41:00.954","node-22",15
"December 9th 2019, 21:41:00.059","node-23",15
"December 9th 2019, 21:40:59.719","node-67",13
"December 9th 2019, 21:40:59.157","node-24",10
"December 9th 2019, 21:40:58.463","node-21",40
"December 9th 2019, 21:40:58.428","node-65",13
"December 9th 2019, 21:40:58.050","node-66",8
"December 9th 2019, 21:40:55.105","node-48",19
"December 9th 2019, 21:40:54.595","node-94",12
"December 9th 2019, 21:40:53.432","node-45",32
"December 9th 2019, 21:40:52.686","node-26",0
"December 9th 2019, 21:40:47.589","node-71",16
"December 9th 2019, 21:40:47.114","node-72",10
"December 9th 2019, 21:40:46.969","node-52",8
"December 9th 2019, 21:40:46.769","node-51",4
"December 9th 2019, 21:40:46.248","node-5",9
"December 9th 2019, 21:40:44.652","node-25",16
"December 9th 2019, 21:40:44.587","node-8",21
"December 9th 2019, 21:40:43.612","node-28",22
"December 9th 2019, 21:40:41.741","node-30",10
"December 9th 2019, 21:40:40.747","node-27",6
"December 9th 2019, 21:40:40.371","node-9",13
"December 9th 2019, 21:40:39.464","node-74",28
"December 9th 2019, 21:40:39.047","node-12",5
"December 9th 2019, 21:40:37.734","node-29",5
"December 9th 2019, 21:40:37.672","node-32",18
"December 9th 2019, 21:40:37.651","node-76",7
"December 9th 2019, 21:40:36.910","node-81",8
"December 9th 2019, 21:40:35.608","node-83",6
"December 9th 2019, 21:40:35.607","node-84",32
"December 9th 2019, 21:40:35.473","node-54",29
"December 9th 2019, 21:40:35.001","node-53",10
"December 9th 2019, 21:40:34.908","node-75",18
"December 9th 2019, 21:40:34.663","node-1",0
"December 9th 2019, 21:40:33.972","node-56",11
"December 9th 2019, 21:40:33.671","node-34",38
"December 9th 2019, 21:40:33.185","node-36",31
"December 9th 2019, 21:40:32.507","node-78",14
"December 9th 2019, 21:40:31.345","node-77",22
"December 9th 2019, 21:40:30.910","node-33",3
"December 9th 2019, 21:40:29.935","node-58",9
"December 9th 2019, 21:40:29.742","node-60",36
"December 9th 2019, 21:40:29.734","node-35",5
"December 9th 2019, 21:40:29.418","node-59",10
"December 9th 2019, 21:40:25.868","node-13",10
"December 9th 2019, 21:40:25.282","node-93",8
"December 9th 2019, 21:40:22.799","node-86",10
"December 9th 2019, 21:40:20.779","node-88",10
"December 9th 2019, 21:40:17.377","node-37",4
"December 9th 2019, 21:40:17.194","node-97",12
"December 9th 2019, 21:40:16.414","node-39",34
"December 9th 2019, 21:40:15.961","node-99",14
